unique_id,iban
1eca45ea-df22-4e67-a382-d7de2dfda746,RO65QMET1222024696221547
997dcaa3-ea57-4fec-8df6-2532a4f3378c,RO22JPFU9395157371382754
18a76d0c-2ff9-46cc-b585-4603e8060117,RO82VMCW3217766066079772
75f90cdd-329a-413c-bb30-bd9a4897c76e,RO61JYLC5078127055615527
b665a4d2-6f16-43f7-9dde-5a98cd8d8fc4,RO67FGCB2449717847909171
27213797-5a62-45f3-b4db-e93f66c117c9,RO31NUCN2347576046218761
f3d6a595-13e6-4246-8bc1-d9e162bbd23f,RO71CHEU1106375072403914
e772c8f0-bcd3-4eb7-acac-d10f4bf1d660,RO83LHVJ5735711238883271
30af785e-3011-4460-90c4-67678ab582f2,RO42RMWV9020294493786426
020df1d3-8e77-48cd-bc90-54351a0d211d,RO70HTCE8043195241980890
